id,iso_code,date,new_cases,new_deaths,icu_patients,hosp_patients,new_tests,positive_rate,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,excess_mortality
178322,CYM,2022-06-03,,0.0,,,,,,,,,
178323,CAF,2022-06-02,0.0,0.0,,,,,,,,,
178324,CAF,2022-06-03,0.0,0.0,,,,,,,,,
178325,TCD,2022-06-02,0.0,0.0,,,,0.0,,,,,
178326,TCD,2022-06-03,0.0,0.0,,,,,,,,,
178327,CHL,2022-06-02,9813.0,23.0,144.0,,74222.0,0.1299,17968986.0,17532853.0,22235668.0,179303.0,
178328,CHL,2022-06-03,9572.0,12.0,156.0,,,,17970100.0,17534353.0,22337185.0,104131.0,
178329,CHN,2022-06-02,154.0,0.0,,,,,,,,820000.0,
178330,CHN,2022-06-03,171.0,0.0,,,,,,,,418000.0,
178331,COL,2022-06-02,5650.0,13.0,,,,0.054,,,,,
178332,COL,2022-06-03,,,,,,,,,,,
178333,COM,2022-06-02,6.0,0.0,,,,,,,,,
178334,COM,2022-06-03,0.0,0.0,,,,,,,,,
178335,COG,2022-06-02,49.0,0.0,,,,,,,,,
178336,COG,2022-06-03,0.0,0.0,,,,,,,,,
178337,COK,2022-06-02,11.0,0.0,,,,,,,,,
178338,COK,2022-06-03,5.0,0.0,,,,,,,,,
178339,CRI,2022-06-02,,,,,,,,,,,
178340,CRI,2022-06-03,,,,,,,,,,,
178341,CIV,2022-06-02,0.0,0.0,,,,0.0183,,,,,
178342,CIV,2022-06-03,16.0,0.0,,,,,,,,,
178343,HRV,2022-06-02,486.0,4.0,,,,0.1145,2314714.0,2244121.0,,192.0,
178344,HRV,2022-06-03,405.0,3.0,,,,,,,,,
178345,CUB,2022-06-02,29.0,0.0,,,,,,,,,
178346,CUB,2022-06-03,30.0,0.0,,,,,,,,,
178347,CUW,2022-06-02,0.0,0.0,,,,,108161.0,99401.0,45676.0,96.0,
178348,CUW,2022-06-03,0.0,0.0,,,,,108170.0,99410.0,45724.0,66.0,
178349,CYP,2022-06-02,0.0,0.0,,,,,,,,,
178350,CYP,2022-06-03,1814.0,8.0,,,,,,,,,
178351,CZE,2022-06-02,176.0,1.0,17.0,102.0,3630.0,0.04,6963080.0,6875476.0,4211120.0,1672.0,
178352,CZE,2022-06-03,289.0,0.0,15.0,96.0,,,6963323.0,6875890.0,4213903.0,3417.0,
178353,COD,2022-06-02,815.0,0.0,,,,0.2346,,,,,
178354,COD,2022-06-03,,0.0,,,,,,,,,
